term,forms,tags
carry,"carry, carried, carrier, carriers, carries, carrying",1k
case,"case, cases",1k
cat,"cat, catlike, cats",1k
catch,"catch, catcher, catchers, catches, catching, catchy, caught, uncaught",1k
cause,"cause, causation, causative, caused, causes, causing",1k
centre,"centre, center, centered, centering, centerist, centerists, centers, central, centralisation, centralise, centralised, centralises, centralising, centralism, centralist, centralists, centralities, centrality, centralization, centralize, centralized, centralizes, centralizing, centrally, centred, centredness, centres, centric, centring, centrist, centrists",1k
certain,"certain, cert, certainly, certainties, certainty, uncertain, uncertainly, uncertainties, uncertainty",1k
chair,"chair, chairs",1k
chance,"chance, chanced, chances, chancing, mischance",1k
change,"change, changeable, changed, changer, changers, changes, changing, unchangeable, unchangeably, unchanged, unchanging",1k
charge,"charge, chargeable, charged, chargee, chargees, charger, chargers, charges, charging, uncharged",1k
cheap,"cheap, cheapen, cheapened, cheapening, cheapens, cheaper, cheapest, cheaply, cheapness",1k
check,"check, checked, checker, checkers, checking, checks, unchecked",1k
chicken,"chicken, chick, chickened, chickening, chickens, chicks",1k
child,"child, childhood, childhoods, childish, childishly, childishness, childless, childlessness, childlike, children, childrens",1k
chip,"chip, chipped, chipping, chippings, chips",1k
choice,"choice, choices, choicest",1k
choose,"choose, chooses, choosing, choosy, chose, chosen, unchosen",1k
christmas,"christmas, christmases, christmassy",1k
church,"church, churches",1k
city,"city, cities",1k
class,"class, classed, classes, classier, classiest, classiness, classing, classless, classlessness, classy, subclass, subclasses",1k
clean,"clean, cleaned, cleaner, cleaners, cleanest, cleaning, cleanliness, cleanly, cleanness, cleans, unclean, uncleanliness",1k
clear,"clear, clearance, clearances, cleared, clearer, clearest, clearing, clearings, clearly, clearness, clears, unclear",1k
climb,"climb, climbed, climber, climbers, climbing, climbs, unclimbed",1k
clock,"clock, clocked, clocker, clockers, clocking, clocks, oclock",1k
close,"close, closely, closeness, closer, closest",1k
closed,"closed, closes, closing, unclosed",1k
clothes,"clothes, clothe, clothed, clothing, unclothed, unclothing",1k
club,"club, clubbed, clubber, clubbers, clubbing, clubs",1k
coat,"coat, coated, coating, coatings, coats",1k
coffee,"coffee, coffees",1k
cold,"cold, colder, coldest, coldish, coldly, coldness, colds",1k
collect,"collect, collectable, collectables, collected, collecting, collection, collections, collective, collectively, collectives, collectivism, collectivist, collectivists, collectivities, collectivity, collectivization, collector, collectors, collects, uncollected",1k
college,"college, colleges, collegian, collegians",1k
colour,"colour, color, coloration, colorations, colored, coloreds, colorful, colorfully, coloring, colorings, colorless, colors, colouration, colourations, coloured, coloureds, colourful, colourfully, colouring, colourings, colourist, colourists, colourless, colours",1k
come,"come, came, comer, comers, comes, cometh, comin, coming, comings",1k
comfort,"comfort, comfortable, comfortably, comforted, comforting, comfortingly, comforts, uncomfortable, uncomfortably, uncomforted",1k
company,"company, co, companies",1k
complete,"complete, completed, completely, completeness, completes, completing, completion, completions, incomplete, incompletely, incompleteness, uncompleted",1k
computer,"computer, computable, computation, computational, computationally, computations, compute, computed, computerisation, computerise, computerised, computerises, computerising, computerization, computerize, computerized, computerizes, computerizing, computers, computes, computing",1k
concern,"concern, concerned, concerning, concerns, unconcern, unconcerned, unconcernedly",1k
consider,"consider, consideration, considerations, considered, considering, consideringly, considers, reconsider, reconsideration, reconsiderations, reconsidered, reconsidering, reconsiders, unconsidered",1k
continue,"continue, continual, continually, continuance, continuation, continuations, continued, continues, continuing, continuities, continuity, continuous, continuously",1k
control,"control, controllable, controlled, controller, controllers, controlling, controls, uncontrollable, uncontrollably, uncontrolled",1k
conversation,"conversation, conversant, conversational, conversationalist, conversationalists, conversationally, conversations, converse, conversed, converses, conversing",1k
cook,"cook, cooked, cooker, cookeries, cookers, cookery, cooking, cooks, overcooked, overcooking, uncooked",1k
cool,"cool, coolant, coolants, cooled, cooler, coolers, coolest, cooling, coolly, coolness, cools, uncool, uncooled",1k
corner,"corner, cornered, cornering, corners",1k
cost,"cost, costed, costing, costings, costless, costlier, costliest, costly, costliness, costs",1k
could,"could, couldn, coulda",1k
count,"count, countable, counted, counting, countless, counts, recount, recounted, recounting, recounts, uncountable, uncounted",1k
country,"country, countries, countrified, countrify",1k
couple,"couple, coupled, couples, coupling, couplings, uncoupled",1k
course,"course, courses",1k
court,"court, courted, courting, courts",1k
cover,"cover, coverage, covered, covering, coverings, coverlet, coverlets, covers, uncover, uncovered, uncovering, uncovers",1k
crazy,"crazy, crazier, crazies, craziest, crazily, craziness",1k
crime,"crime, crimes",1k
cross,"cross, crossed, crosses, crossing, crossings, crosslike, crossly, crossness, uncrossed, crosswise, crossways",1k
cry,"cry, cried, crier, criers, cries, crying",1k
cup,"cup, cuplike, cupful, cupped, cupping, cups",1k
cut,"cut, cuts, cutter, cutters, cutting, cuttings, uncut",1k
dad,"dad, daddies, daddy, dads",1k
dance,"dance, danceable, danced, dancer, dancers, dances, dancing",1k
danger,"danger, dangerous, dangerously, dangers, endanger, endangered, endangering, endangerment, endangerments, endangers",1k
dark,"dark, darken, darkened, darkener, darkeners, darkening, darkens, darker, darkest, darkie, darkies, darkly, darkness, darky",1k
darling,"darling, darlin, darlings",1k
date,"date, datable, dated, dates, dating, undated",1k
daughter,"daughter, daughters",1k
day,"day, dailies, daily, daylight, daylights, days, midday",1k
dead,"dead, deaden, deadened, deadening, deadens, deadlier, deadliest, deadly, undead, deader, deadest",1k
deal,"deal, dealer, dealers, dealership, dealerships, dealing, dealings, deals, dealt, undealt",1k
dear,"dear, dearer, dearest, dearie, dearly, dears",1k
death,"death, deathless, deathlessly, deathlike, deathly, deaths",1k
decide,"decide, decided, decidedly, decider, deciders, decides, deciding, undecided",1k
deep,"deep, deepen, deepened, deepening, deepens, deeper, deepest, deeply, depth, depths",1k
definite,"definite, definitely, definiteness, indefinite, indefinitely",1k
degree,"degree, deg, degrees",1k
delicious,"delicious, deliciously, deliciousness",1k
depend,"depend, dependability, dependable, dependably, dependant, dependants, depended, dependent, dependents, depending, depends, undependable",1k
die,"die, died, dies, dying, undying",1k
difference,"difference, differences",1k
different,"different, differently",1k
difficult,"difficult, difficulties, difficulty",1k
dig,"dig, digger, diggers, digging, digs, dug, undug",1k
dinner,"dinner, dinners",1k
dirty,"dirty, dirt, dirtier, dirtiest, dirtiness",1k
discover,"discover, discovered, discoverer, discoverers, discoveries, discovering, discovers, discovery, rediscover, rediscovered, rediscoveries, rediscovering, rediscovers, rediscovery, undiscovered",1k
do,"do, did, didn, doer, doers, does, doesn, doin, doing, doings, don, done, redid, redo, redoes, redoing, redone, undid, undo, undoes, undoing, undone, doable",1k
doctor,"doctor, doc, docs, doctored, doctoring, doctors, dr",1k
dog,"dog, doggie, doggies, doggy, dogs",1k
door,"door, doors, indoor, indoors, outdoor, outdoors",1k
double,"double, doubled, doubles, doubling, doubly, redouble, redoubled, redoubles, redoubling",1k
doubt,"doubt, doubted, doubter, doubters, doubtful, doubtfully, doubting, doubtless, doubts, undoubtably, undoubted, undoubtedly",1k
down,"down, downed, downing, downings, downs, downward, downwards",1k
draw,"draw, drawing, drawings, drawn, draws, drew, redraw, redrawing, redrawn, redraws, redrew, undrawn",1k
dream,"dream, dreamed, dreamer, dreamers, dreamily, dreaming, dreamless, dreamlessly, dreamlike, dreams, dreamt, dreamy, undreamed, undreamt",1k
dress,"dress, dressed, dresses, dressing, dressings, undress, undressed, undresses, undressing, dressy",1k
drink,"drink, drank, drinkable, drinker, drinkers, drinking, drinks, drunk, drunks, undrunk",1k
drive,"drive, driven, driver, drivers, drives, driving, drove",1k
drop,"drop, droplet, droplets, dropped, dropper, droppers, dropping, droppings, drops",1k
drug,"drug, drugged, druggie, druggies, drugging, drugs, druggist, druggists",1k
dry,"dry, dried, drier, driers, dries, driest, drily, dryer, dryers, drying, dryly, dryness",1k
during,during,1k
each,each,1k
ear,"ear, eared, earful, earless, ears",1k
early,"early, earlier, earliest, earliness",1k
earth,"earth, earthed, earthen, earthly, earths, earthy, earthiness, unearthliness, unearthly, earthling, earthlings",1k
east,"east, easterlies, easterly, eastward, eastwards",1k
easy,"easy, easier, easiest, easily, easiness",1k
eat,"eat, ate, eaten, eater, eaters, eating, eats, uneaten, eatable",1k
edge,"edge, edged, edger, edges, edgewise, edgeways, edging",1k
educate,"educate, educated, educates, educating, education, educational, educationalist, educationalists, educationally, educationist, educationists, educations, educative, educator, educators, miseducated, uneducated",1k
egg,"egg, eggs",1k
eight,"eight, eighteen, eighteenth, eighteenths, eighth, eighths, eighties, eightieth, eightieths, eights, eighty",1k
either,either,1k
eleven,"eleven, elevens, eleventh, elevenths",1k
else,"else, elsewhere",1k
employ,"employ, employability, employable, employed, employee, employees, employer, employers, employing, employment, employments, employs, unemployable, unemployed, unemployment",1k
empty,"empty, emptied, empties, emptiness, emptying, emptily",1k
end,"end, ended, ending, endings, endless, endlessly, ends, unended, unending",1k
engine,"engine, engined, engines",1k
enjoy,"enjoy, enjoyable, enjoyed, enjoying, enjoyment, enjoys, unenjoyable",1k
enough,enough,1k
enter,"enter, entered, entering, enters, unentered",1k
especially,"especially, especial",1k
even,"even, evens",1k
evening,"evening, evenings, evenin",1k
ever,ever,1k
every,"every, everybody, everyday, everydayness, everyone, everything, everytime, everywhere",1k
exact,"exact, exactly, exactness, inexact, inexactness",1k
except,"except, cept, cepting, excepted, excepting",1k
excite,"excite, excitable, excitably, excitation, excitations, excited, excitedly, excitement, excitements, exciter, exciters, excites, exciting, unexciting, overexcited, excitability",1k
excuse,"excuse, excusable, excused, excuses, excusing, inexcusable",1k
expect,"expect, expectancies, expectancy, expectant, expectantly, expectation, expectations, expected, expectedly, expecting, expects, unexpected, unexpectedly, unexpectedness",1k
expensive,"expensive, expensively, inexpensive, inexpensively, inexpensiveness",1k
experience,"experience, experienced, experiences, experiencing, experiential, experientially, inexperience, inexperienced",1k
explain,"explain, explained, explainer, explainers, explaining, explains, explanation, explanations, explanatory, unexplained",1k
express,"express, expressed, expresses, expressible, expressing, expression, expressionless, expressionlessly, expressions, expressive, expressively, expressiveness, expressly, inexpressible, unexpressed",1k
extra,"extra, extras",1k
eye,"eye, eyed, eyeful, eyefuls, eyeing, eying, eyeless, eyelet, eyelets, eyes",1k
face,"face, faced, faceless, faces, facing, facings",1k
fact,"fact, factly, facts",1k
fair,"fair, fairer, fairest, fairly, fairness, unfair, unfairly, unfairness",1k
fall,"fall, fallen, falling, falls, fell",1k
family,"family, familial, families, subfamilies, subfamily",1k
far,"far, farther, farthest",1k
farm,"farm, farmed, farmer, farmers, farming, farms, unfarmed",1k
fast,"fast, faster, fastest",1k
fat,"fat, fatless, fatly, fatness, fats, fatten, fattened, fattening, fattens, fatter, fattest, fattier, fattiest, fattiness, fattish, fatty",1k
father,"father, fathered, fatherhood, fathering, fatherless, fatherly, fathers",1k
favourite,"favourite, favorite, favorites, favoritism, favourites, favouritism",1k
fear,"fear, feared, fearful, fearfulness, fearfully, fearing, fearless, fearlessly, fearlessness, fears, unfeared",1k
feed,"feed, fed, feeder, feeders, feeding, feeds, unfed",1k
feel,"feel, feeler, feelers, feeling, feelings, feels, felt, feelingly, unfeeling, unfeelingly",1k
fellow,"fellow, fella, fellas, fellows, fellowship, fellowships",1k
few,"few, fewer, fewest",1k
field,"field, fielded, fielder, fielders, fielding, fields, midfielder, midfielders",1k
fight,"fight, fighter, fighters, fighting, fights, fought",1k
figure,"figure, fig, figs, figural, figuration, figurations, figured, figures, figuring, figurings",1k
fill,"fill, filled, filler, fillers, filling, fillings, fills, refill, refillable, refilled, refilling, refills, unfilled",1k
film,"film, filmed, filming, films, filmy",1k
final,"final, finalise, finalised, finalises, finalising, finalist, finalists, finality, finalize, finalized, finalizes, finalizing, finally, finals, semifinalist, semifinalists",1k
find,"find, finder, finders, finding, findings, finds, found, unfound",1k
fine,"fine, finely, fineness, finer, finery, finest",1k
finger,"finger, fingered, fingering, fingers",1k
finish,"finish, finished, finisher, finishers, finishes, finishing, unfinished",1k
fire,"fire, fired, fires, firing, misfire, misfired, misfires, misfiring",1k
first,"first, firstly, firsts",1k
fish,"fish, fished, fisheries, fishers, fishery, fishes, fishier, fishiest, fishily, fishiness, fishing, fishy",1k
fit,"fit, fitness, fits, fitted, fitter, fitters, fittest, fitting, fittingly, fittings, unfit, unfitness, unfitted, unfitting",1k
five,"five, fifteen, fifteenth, fifteenths, fifth, fifthly, fifths, fifties, fiftieth, fiftieths, fifty, fives",1k
fix,"fix, fixable, fixed, fixedly, fixer, fixers, fixes, fixing, fixings, fixity, unfixed",1k
flat,"flat, flatly, flatness, flatten, flattened, flattening, flattens, flattest, flattish",1k
floor,"floor, floored, flooring, floorings, floors",1k
flower,"flower, flowered, flowerer, flowerers, flowerier, floweriest, floweriness, flowering, flowers, flowery",1k
fly,"fly, flew, flier, fliers, flies, flown, flyer, flyers, flying, unflown",1k
follow,"follow, ff, followed, follower, followers, following, follows",1k
food,"food, foods",1k
foot,"foot, feet, footed, footer, footers, ft",1k
football,"football, footballer, footballers, footballing, footballs, footie, footies",1k
for,"for, fer",1k
force,"force, forced, forceful, forcefully, forces, forcible, forcibly, forcing, unforced",1k
forest,"forest, forested, forester, foresters, foresting, forestry, forests",1k
forget,"forget, forgetful, forgetfully, forgetfulness, forgets, forgettable, forgetting, forgot, forgotten, unforgettable, unforgotten, unforgettably",1k
form,"form, formed, forming, formless, formlessness, forms, preform, preformed, preforming, preforms, unformed",1k
fortunate,"fortunate, fortunately, unfortunate, unfortunately, unfortunates",1k
forward,"forward, forwarded, forwarder, forwarders, forwarding, forwards",1k
four,"four, forties, fortieth, fortieths, forty, fortyish, fours, fourteen, fourteenth, fourteenths, fourth, fourthly, fourths",1k
free,"free, freed, freedom, freedoms, freeing, freely, freer, frees, freest, unfree, unfreed",1k
freeze,"freeze, freezable, freezer, freezers, freezes, freezing, froze, frozen, unfrozen",1k
fresh,"fresh, freshen, freshened, freshener, fresheners, freshening, freshens, fresher, freshest, freshly, freshness",1k
friday,"friday, fri, fridays",1k
friend,"friend, friendless, friendlier, friendlies, friendliest, friendliness, friendly, friends, friendship, friendships, unfriendliest, unfriendly, unfriendliness",1k
fright,"fright, frighten, frightened, frightener, frighteners, frightening, frighteningly, frightens, frightful, frightfully, frights",1k
from,from,1k
front,"front, forefront, forefronts, frontage, frontages, frontal, frontally, fronted, fronting, frontmost, fronts, frontwards",1k
full,"full, fuller, fullest, fullness, fully",1k
fun,"fun, funnier, funnies, funniest, funnily, funny, funniness",1k
further,"further, furtherance, furthered, furtherest, furthering, furthers, furthest, furtherer, furthermost",1k
game,"game, games, gaming",1k
garden,"garden, gardened, gardener, gardeners, gardening, gardens",1k
gas,"gas, gaseous, gases, gassed, gassing, gassy, gassiness",1k
general,"general, generalisability, generalisable, generalisation, generalisations, generalise, generalised, generalises, generalising, generalist, generalists, generalities, generality, generalizability, generalizable, generalization, generalizations, generalize, generalized, generalizes, generalizing, generally",1k
gentle,"gentle, gentleness, gentler, gentlest, gently",1k
get,"get, gets, gettin, getting, getter, got, gotcha, gotta, gotten",1k
girl,"girl, gal, gals, girlhood, girlie, girlies, girlish, girlishly, girlishness, girls, girly",1k
give,"give, gave, gimme, given, giver, givers, gives, giving, ungiven",1k
glad,"glad, gladden, gladdened, gladdening, gladdens, gladder, gladdest, gladly, gladness",1k
glance,"glance, glanced, glances, glancing",1k
glass,"glass, glasses, glassier, glassiest, glassily, glassiness, glassy, glassful",1k
go,"go, goer, goers, goes, goin, going, goings, gone, goner, goners, gonna, gunna, went",1k
god,"god, goddess, goddesses, godless, godlike, godliness, godly, gods",1k
gold,"gold, golden",1k
good,"good, gidday, goodday, gooder, gooders, goodies, goodly, goodness, goody",1k
goodbye,"goodbye, bye, goodbyes",1k
govern,"govern, gov, governed, governing, government, governmental, governments, governor, governors, governorship, governorships, governs, govt, intergovernmental, misgoverned, misgoverning, misgoverns, ungovernable",1k
grandfather,"grandfather, gran, grandad, grandads, grandchild, grandchildren, granddad, granddads, granddaughter, granddaughters, grandfathers, grandma, grandmas, grandmother, grandmothers, grandmamma, grandmammas, grandpa, grandparent, grandparents, grandpas, grandpop, grandpops, grandson, grandsons, grans, grannie, grannies",1k
grass,"grass, grassed, grasses, grassing, grassless, grasslike, grassy",1k
great,"great, greater, greatest, greatly, greatness, greats",1k
green,"green, greener, greenest, greening, greenish, greenness, greens, greeny",1k
grey,"grey, gray, grayed, graying, grayish, grayly, grayness, grays, greyer, greyest, greying, greyish, greyly, greyness, greys",1k
ground,"ground, foreground, foregrounded, foregrounding, foregrounds, grounded, grounding, groundless, grounds, ungrounded",1k
group,"group, grouped, grouping, groupings, groups, intergroup, regroup, regrouped, regrouping, regroups, subgroup, subgroups, ungrouped",1k
grow,"grow, grew, grower, growers, growing, grown, grows, growth, growths, regrow, regrowth",1k
guess,"guess, guessable, guessed, guesses, guessing, unguessable",1k
gun,"gun, gunless, gunned, gunner, gunners, gunnery, gunning, guns",1k
guy,"guy, guys",1k
hair,"hair, haired, hairless, hairs, hairy, hairiness",1k
half,"half, halfs, halves",1k
hall,"hall, halls",1k
hand,"hand, handed, handedly, handedness, hander, handers, handful, handfuls, handing, hands",1k
handle,"handle, handled, handler, handlers, handles, handling, mishandle, mishandled, mishandles, mishandling",1k
hang,"hang, hanged, hanger, hangers, hanging, hangin, hangings, hangs, hung, unhung",1k
happen,"happen, happened, happening, happenings, happens",1k
happy,"happy, happier, happiest, happily, happiness, unhappier, unhappiest, unhappily, unhappiness, unhappy",1k
hard,"hard, harden, hardened, hardener, hardeners, hardening, hardens, harder, hardest, hardness, hardship, hardships",1k
hardly,hardly,1k
hat,"hat, hatful, hatfuls, hatless, hats, hatted, hatter, hatters",1k
hate,"hate, hated, hateful, hatefully, hatefulness, hater, haters, hates, hating",1k
have,"have, d, had, hadn, hadst, has, hasn, hast, hath, haven, haves, having, ve",1k
he,"he, him, himself, his",1k
head,"head, headed, headedness, heading, headings, headless, heads, headship, headships, subheading, subheadings",1k
health,"health, healthfully, healthfulness, healthier, healthiest, healthily, healthy, unhealthier, unhealthiest, unhealthy, healthful, unhealthful",1k
hear,"hear, heard, hearer, hearers, hearing, hearings, hears, mishear, misheard, mishearing, mishears, reheard, rehearing, unheard",1k
heart,"heart, hearted, heartedly, heartedness, hearten, heartened, heartening, heartens, heartless, heartlessly, heartlessness, hearts",1k
heat,"heat, heated, heatedly, heater, heaters, heating, heats, preheat, preheated, preheating, preheats, reheat, reheated, reheating, reheats, unheated",1k
heavy,"heavy, heavier, heavies, heaviest, heavily, heaviness",1k
hell,"hell, hellish, hellishly, hellishness, hells",1k
hello,"hello, allo, hallo, hey, hi, hullo",1k
help,"help, helped, helper, helpers, helpful, helpfully, helpfulness, helping, helpings, helpless, helplessly, helplessness, helps, unhelpful, unhelpfully",1k
here,here,1k
hide,"hide, hid, hidden, hider, hiders, hides, hiding, unhidden",1k
high,"high, higher, highest, highly, highs",1k
hill,"hill, hills, hilly",1k
history,"history, historian, historians, historic, historical, historically, historicism, historicist, historicists, historicity, histories, prehistories, prehistory",1k
hit,"hit, hits, hitter, hitting, mishit, mishits, unhit",1k
hold,"hold, held, holder, holders, holding, holdings, holds, unheld",1k
hole,"hole, holed, holes, holing",1k
holiday,"holiday, holidayed, holidayer, holidayers, holidaying, holidays, hols",1k
home,"home, homed, homeless, homelessness, homes, homeward, homewards, homing",1k
honest,"honest, honestly, honesty",1k
honour,"honour, hon, honor, honorable, honorably, honorary, honored, honorific, honoring, honors, honourable, honourably, honourary, honoured, honouring, honours, hons",1k
hope,"hope, hoped, hopeful, hopefully, hopefulness, hopefuls, hopeless, hopelessly, hopelessness, hoper, hopers, hopes, hoping",1k
horrible,"horrible, horribleness, horribly, orrible",1k
horse,"horse, horses, horsey, horsy, unhorsed",1k
hospital,"hospital, hospitalisation, hospitalise, hospitalised, hospitalises, hospitalising, hospitalization, hospitalize, hospitalized, hospitalizes, hospitalizing, hospitals",1k
hot,"hot, hotly, hotness, hots, hotted, hotter, hottest, hotting",1k
hour,"hour, hourly, hours, hr, hrs",1k
house,"house, housed, houses, housing, rehouse, rehoused, rehouses, rehousing, unhoused",1k
how,"how, hows",1k
however,however,1k
huge,"huge, hugely, hugeness",1k
human,"human, humanism, humanist, humanistic, humanists, humanity, humanly, humanness, humans, inhuman, inhumanity, nonhuman, nonhumans, humanize",1k
hundred,"hundred, hundreds, hundredth, hundredths",1k
hungry,"hungry, hunger, hungered, hungering, hungers, hungrier, hungriest, hungrily",1k
hunt,"hunt, hunted, hunter, hunters, hunting, huntress, hunts",1k
