language,term,translation,parent,tags
English,being,be,,1k
English,beings,be,,1k
English,innit,be,,1k
English,is,be,,1k
English,isn,be,,1k
English,m,be,,1k
English,re,be,,1k
English,s,be,,1k
English,tis,be,,1k
English,twas,be,,1k
English,was,be,,1k
English,wasn,be,,1k
English,were,be,,1k
English,weren,be,,1k
English,wert,be,,1k
English,wuz,be,,1k
English,beach,,,1k
English,beached,beach,,1k
English,beaches,beach,,1k
English,beaching,beach,,1k
English,bear,,,1k
English,bearable,bear,,1k
English,bearably,bear,,1k
English,bearer,bear,,1k
English,bearers,bear,,1k
English,bearing,bear,,1k
English,bearings,bear,,1k
English,bears,bear,,1k
English,bore,bear,,1k
English,borne,bear,,1k
English,unbearable,bear,,1k
English,unbearably,bear,,1k
English,beat,,,1k
English,beaten,beat,,1k
English,beater,beat,,1k
English,beaters,beat,,1k
English,beating,beat,,1k
English,beatings,beat,,1k
English,beats,beat,,1k
English,unbeatable,beat,,1k
English,unbeaten,beat,,1k
English,beauty,,,1k
English,beauteous,beauty,,1k
English,beautician,beauty,,1k
English,beauticians,beauty,,1k
English,beauties,beauty,,1k
English,beautification,beauty,,1k
English,beautified,beauty,,1k
English,beautifies,beauty,,1k
English,beautiful,beauty,,1k
English,beautifully,beauty,,1k
English,beautify,beauty,,1k
English,because,,,1k
English,cos,because,,1k
English,coz,because,,1k
English,become,,,1k
English,became,become,,1k
English,becomes,become,,1k
English,becoming,become,,1k
English,bed,,,1k
English,bedded,bed,,1k
English,bedding,bed,,1k
English,beds,bed,,1k
English,before,,,1k
English,begin,,,1k
English,began,begin,,1k
English,beginner,begin,,1k
English,beginners,begin,,1k
English,beginning,begin,,1k
English,beginnings,begin,,1k
English,begins,begin,,1k
English,begun,begin,,1k
English,behind,,,1k
English,behinds,behind,,1k
English,believe,,,1k
English,believable,believe,,1k
English,believed,believe,,1k
English,believer,believe,,1k
English,believers,believe,,1k
English,believes,believe,,1k
English,believing,believe,,1k
English,unbelievable,believe,,1k
English,unbelievably,believe,,1k
English,unbeliever,believe,,1k
English,unbelievers,believe,,1k
English,unbelieving,believe,,1k
English,unbelievingly,believe,,1k
English,below,,,1k
English,beneath,,,1k
English,beside,,,1k
English,besides,beside,,1k
English,best,,,1k
English,bet,,,1k
English,bets,bet,,1k
English,betting,bet,,1k
English,better,,,1k
English,bettered,better,,1k
English,bettering,better,,1k
English,betterment,better,,1k
English,betterments,better,,1k
English,betters,better,,1k
English,between,,,1k
English,betweens,between,,1k
English,beyond,,,1k
English,big,,,1k
English,bigger,big,,1k
English,biggest,big,,1k
English,biggish,big,,1k
English,bigness,big,,1k
English,biggy,big,,1k
English,biggie,big,,1k
English,biggies,big,,1k
English,bill,,,1k
English,billed,bill,,1k
English,billing,bill,,1k
English,bills,bill,,1k
English,billion,,,1k
English,billions,billion,,1k
English,billionth,billion,,1k
English,billionths,billion,,1k
English,bird,,,1k
English,birdie,bird,,1k
English,birdied,bird,,1k
English,birdies,bird,,1k
English,birdlike,bird,,1k
English,birds,bird,,1k
English,birdy,bird,,1k
English,birth,,,1k
English,birthed,birth,,1k
English,birthing,birth,,1k
English,births,birth,,1k
English,rebirth,birth,,1k
English,rebirths,birth,,1k
English,bit,,,1k
English,bits,bit,,1k
English,bitty,bit,,1k
English,bitsy,bit,,1k
English,black,,,1k
English,blacked,black,,1k
English,blacken,black,,1k
English,blackened,black,,1k
English,blackening,black,,1k
English,blackens,black,,1k
English,blacker,black,,1k
English,blackest,black,,1k
English,blacking,black,,1k
English,blackish,black,,1k
English,blackly,black,,1k
English,blackness,black,,1k
English,blacks,black,,1k
English,blood,,,1k
English,blooded,blood,,1k
English,bloodied,blood,,1k
English,bloodier,blood,,1k
English,bloodies,blood,,1k
English,bloodiest,blood,,1k
English,bloodiness,blood,,1k
English,bloodless,blood,,1k
English,bloodlessly,blood,,1k
English,bloodlessness,blood,,1k
English,bloods,blood,,1k
English,bloody,blood,,1k
English,bloodying,blood,,1k
English,blow,,,1k
English,blew,blow,,1k
English,blowed,blow,,1k
English,blower,blow,,1k
English,blowers,blow,,1k
English,blowing,blow,,1k
English,blown,blow,,1k
English,blows,blow,,1k
English,blue,,,1k
English,blueness,blue,,1k
English,bluer,blue,,1k
English,blues,blue,,1k
English,bluest,blue,,1k
English,bluey,blue,,1k
English,bluish,blue,,1k
English,board,,,1k
English,boards,board,,1k
English,boat,,,1k
English,boated,boat,,1k
English,boating,boat,,1k
English,boats,boat,,1k
English,body,,,1k
English,bodied,body,,1k
English,bodies,body,,1k
English,bodily,body,,1k
English,bone,,,1k
English,boned,bone,,1k
English,boneless,bone,,1k
English,bones,bone,,1k
English,boney,bone,,1k
English,bonier,bone,,1k
English,boniest,bone,,1k
English,boniness,bone,,1k
English,boning,bone,,1k
English,bony,bone,,1k
English,book,,,1k
English,bookish,book,,1k
English,booklet,book,,1k
English,booklets,book,,1k
English,books,book,,1k
English,boring,,,1k
English,bored,boring,,1k
English,boredom,boring,,1k
English,bores,boring,,1k
English,boringly,boring,,1k
English,born,,,1k
English,reborn,born,,1k
English,unborn,born,,1k
English,both,,,1k
English,bother,,,1k
English,bothered,bother,,1k
English,bothering,bother,,1k
English,bothers,bother,,1k
English,bothersome,bother,,1k
English,bovver,bother,,1k
English,bottle,,,1k
English,bottled,bottle,,1k
English,bottles,bottle,,1k
English,bottling,bottle,,1k
English,unbottled,bottle,,1k
English,bottom,,,1k
English,bottomed,bottom,,1k
English,bottoming,bottom,,1k
English,bottomless,bottom,,1k
English,bottoms,bottom,,1k
English,box,,,1k
English,boxes,box,,1k
English,boy,,,1k
English,boys,boy,,1k
English,boyhood,boy,,1k
English,boyish,boy,,1k
English,boyishly,boy,,1k
English,boyishness,boy,,1k
English,bread,,,1k
English,breads,bread,,1k
English,break,,,1k
English,breakable,break,,1k
English,breakage,break,,1k
English,breakages,break,,1k
English,breaker,break,,1k
English,breakers,break,,1k
English,breaking,break,,1k
English,breaks,break,,1k
English,broke,break,,1k
English,broken,break,,1k
English,brokenly,break,,1k
English,unbreakable,break,,1k
English,unbroken,break,,1k
English,breakfast,,,1k
English,breakfasted,breakfast,,1k
English,breakfasting,breakfast,,1k
English,breakfasts,breakfast,,1k
English,breath,,,1k
English,breathless,breath,,1k
English,breathlessly,breath,,1k
English,breathlessness,breath,,1k
English,breaths,breath,,1k
English,breathy,breath,,1k
English,bright,,,1k
English,brighten,bright,,1k
English,brightened,bright,,1k
English,brightening,bright,,1k
English,brightens,bright,,1k
English,brighter,bright,,1k
English,brightest,bright,,1k
English,brightly,bright,,1k
English,brightness,bright,,1k
English,bring,,,1k
English,bringer,bring,,1k
English,bringers,bring,,1k
English,bringing,bring,,1k
English,brings,bring,,1k
English,brought,bring,,1k
English,brother,,,1k
English,bro,brother,,1k
English,bros,brother,,1k
English,brotherhood,brother,,1k
English,brotherhoods,brother,,1k
English,brotherly,brother,,1k
English,brothers,brother,,1k
English,brown,,,1k
English,browned,brown,,1k
English,browner,brown,,1k
English,brownest,brown,,1k
English,browning,brown,,1k
English,brownish,brown,,1k
English,browns,brown,,1k
English,browny,brown,,1k
English,build,,,1k
English,builder,build,,1k
English,builders,build,,1k
English,building,build,,1k
English,buildings,build,,1k
English,builds,build,,1k
English,built,build,,1k
English,prebuilt,build,,1k
English,rebuild,build,,1k
English,rebuilding,build,,1k
English,rebuilds,build,,1k
English,rebuilt,build,,1k
English,unbuilt,build,,1k
English,burn,,,1k
English,burnable,burn,,1k
English,burned,burn,,1k
English,burner,burn,,1k
English,burners,burn,,1k
English,burning,burn,,1k
English,burnings,burn,,1k
English,burns,burn,,1k
English,burnt,burn,,1k
English,unburnable,burn,,1k
English,bus,,,1k
English,buses,bus,,1k
English,bussed,bus,,1k
English,busses,bus,,1k
English,bussing,bus,,1k
English,busing,bus,,1k
English,business,,,1k
English,businesses,business,,1k
English,businesslike,business,,1k
English,unbusinesslike,business,,1k
English,busy,,,1k
English,busied,busy,,1k
English,busier,busy,,1k
English,busies,busy,,1k
English,busiest,busy,,1k
English,busily,busy,,1k
English,busying,busy,,1k
English,busyness,busy,,1k
English,but,,,1k
English,buts,but,,1k
English,buy,,,1k
English,bought,buy,,1k
English,buyer,buy,,1k
English,buyers,buy,,1k
English,buying,buy,,1k
English,buys,buy,,1k
English,by,,,1k
English,bys,by,,1k
English,cake,,,1k
English,cakes,cake,,1k
English,call,,,1k
English,called,call,,1k
English,caller,call,,1k
English,callers,call,,1k
English,calling,call,,1k
English,callin,call,,1k
English,calls,call,,1k
English,uncalled,call,,1k
English,camp,,,1k
English,camped,camp,,1k
English,camper,camp,,1k
English,campers,camp,,1k
English,camping,camp,,1k
English,camps,camp,,1k
English,can,,,1k
English,cannot,can,,1k
English,car,,,1k
English,cars,car,,1k
English,card,,,1k
English,carding,card,,1k
English,cards,card,,1k
English,care,,,1k
English,cared,care,,1k
English,careful,care,,1k
English,carefully,care,,1k
English,carefulness,care,,1k
English,careless,care,,1k
English,carelessly,care,,1k
English,carelessness,care,,1k
English,carer,care,,1k
English,carers,care,,1k
English,cares,care,,1k
English,caring,care,,1k
English,uncared,care,,1k
English,uncaring,care,,1k
English,carry,,,1k
English,carried,carry,,1k
English,carrier,carry,,1k
English,carriers,carry,,1k
English,carries,carry,,1k
English,carrying,carry,,1k
English,case,,,1k
English,cases,case,,1k
English,cat,,,1k
English,catlike,cat,,1k
English,cats,cat,,1k
English,catch,,,1k
English,catcher,catch,,1k
English,catchers,catch,,1k
English,catches,catch,,1k
English,catching,catch,,1k
English,catchy,catch,,1k
English,caught,catch,,1k
English,uncaught,catch,,1k
English,cause,,,1k
English,causation,cause,,1k
English,causative,cause,,1k
English,caused,cause,,1k
English,causes,cause,,1k
English,causing,cause,,1k
English,centre,,,1k
English,center,centre,,1k
English,centered,centre,,1k
English,centering,centre,,1k
English,centerist,centre,,1k
English,centerists,centre,,1k
English,centers,centre,,1k
English,central,centre,,1k
English,centralisation,centre,,1k
English,centralise,centre,,1k
English,centralised,centre,,1k
English,centralises,centre,,1k
English,centralising,centre,,1k
English,centralism,centre,,1k
English,centralist,centre,,1k
English,centralists,centre,,1k
English,centralities,centre,,1k
English,centrality,centre,,1k
English,centralization,centre,,1k
English,centralize,centre,,1k
English,centralized,centre,,1k
English,centralizes,centre,,1k
English,centralizing,centre,,1k
English,centrally,centre,,1k
English,centred,centre,,1k
English,centredness,centre,,1k
English,centres,centre,,1k
English,centric,centre,,1k
English,centring,centre,,1k
English,centrist,centre,,1k
English,centrists,centre,,1k
English,certain,,,1k
English,cert,certain,,1k
English,certainly,certain,,1k
English,certainties,certain,,1k
English,certainty,certain,,1k
English,uncertain,certain,,1k
English,uncertainly,certain,,1k
English,uncertainties,certain,,1k
English,uncertainty,certain,,1k
English,chair,,,1k
English,chairs,chair,,1k
English,chance,,,1k
English,chanced,chance,,1k
English,chances,chance,,1k
English,chancing,chance,,1k
English,mischance,chance,,1k
English,change,,,1k
English,changeable,change,,1k
English,changed,change,,1k
English,changer,change,,1k
English,changers,change,,1k
English,changes,change,,1k
English,changing,change,,1k
English,unchangeable,change,,1k
English,unchangeably,change,,1k
English,unchanged,change,,1k
English,unchanging,change,,1k
English,charge,,,1k
English,chargeable,charge,,1k
English,charged,charge,,1k
English,chargee,charge,,1k
English,chargees,charge,,1k
English,charger,charge,,1k
English,chargers,charge,,1k
English,charges,charge,,1k
English,charging,charge,,1k
English,uncharged,charge,,1k
English,cheap,,,1k
English,cheapen,cheap,,1k
English,cheapened,cheap,,1k
English,cheapening,cheap,,1k
English,cheapens,cheap,,1k
English,cheaper,cheap,,1k
English,cheapest,cheap,,1k
English,cheaply,cheap,,1k
English,cheapness,cheap,,1k
English,check,,,1k
English,checked,check,,1k
English,checker,check,,1k
English,checkers,check,,1k
English,checking,check,,1k
English,checks,check,,1k
English,unchecked,check,,1k
English,chicken,,,1k
English,chick,chicken,,1k
English,chickened,chicken,,1k
English,chickening,chicken,,1k
English,chickens,chicken,,1k
English,chicks,chicken,,1k
English,child,,,1k
English,childhood,child,,1k
English,childhoods,child,,1k
English,childish,child,,1k
English,childishly,child,,1k
English,childishness,child,,1k
English,childless,child,,1k
English,childlessness,child,,1k
English,childlike,child,,1k
English,children,child,,1k
English,childrens,child,,1k
English,chip,,,1k
English,chipped,chip,,1k
English,chipping,chip,,1k
English,chippings,chip,,1k
English,chips,chip,,1k
English,choice,,,1k
English,choices,choice,,1k
English,choicest,choice,,1k
English,choose,,,1k
English,chooses,choose,,1k
English,choosing,choose,,1k
English,choosy,choose,,1k
English,chose,choose,,1k
English,chosen,choose,,1k
English,unchosen,choose,,1k
English,christmas,,,1k
English,christmases,christmas,,1k
English,christmassy,christmas,,1k
English,church,,,1k
English,churches,church,,1k
English,city,,,1k
English,cities,city,,1k
English,class,,,1k
English,classed,class,,1k
English,classes,class,,1k
English,classier,class,,1k
English,classiest,class,,1k
English,classiness,class,,1k
English,classing,class,,1k
English,classless,class,,1k
English,classlessness,class,,1k
English,classy,class,,1k
English,subclass,class,,1k
English,subclasses,class,,1k
English,clean,,,1k
English,cleaned,clean,,1k
English,cleaner,clean,,1k
English,cleaners,clean,,1k
English,cleanest,clean,,1k
English,cleaning,clean,,1k
English,cleanliness,clean,,1k
English,cleanly,clean,,1k
English,cleanness,clean,,1k
English,cleans,clean,,1k
English,unclean,clean,,1k
English,uncleanliness,clean,,1k
English,clear,,,1k
English,clearance,clear,,1k
English,clearances,clear,,1k
English,cleared,clear,,1k
English,clearer,clear,,1k
English,clearest,clear,,1k
English,clearing,clear,,1k
English,clearings,clear,,1k
English,clearly,clear,,1k
English,clearness,clear,,1k
English,clears,clear,,1k
English,unclear,clear,,1k
English,climb,,,1k
English,climbed,climb,,1k
English,climber,climb,,1k
English,climbers,climb,,1k
English,climbing,climb,,1k
English,climbs,climb,,1k
English,unclimbed,climb,,1k
English,clock,,,1k
English,clocked,clock,,1k
English,clocker,clock,,1k
English,clockers,clock,,1k
English,clocking,clock,,1k
English,clocks,clock,,1k
English,oclock,clock,,1k
English,close,,,1k
English,closely,close,,1k
English,closeness,close,,1k
English,closer,close,,1k
English,closest,close,,1k
English,closed,,,1k
English,closes,closed,,1k
English,closing,closed,,1k
English,unclosed,closed,,1k
English,clothes,,,1k
English,clothe,clothes,,1k
English,clothed,clothes,,1k
English,clothing,clothes,,1k
English,unclothed,clothes,,1k
English,unclothing,clothes,,1k
English,club,,,1k
English,clubbed,club,,1k
English,clubber,club,,1k
English,clubbers,club,,1k
English,clubbing,club,,1k
English,clubs,club,,1k
English,coat,,,1k
English,coated,coat,,1k
English,coating,coat,,1k
English,coatings,coat,,1k
English,coats,coat,,1k
English,coffee,,,1k
English,coffees,coffee,,1k
English,cold,,,1k
English,colder,cold,,1k
English,coldest,cold,,1k
English,coldish,cold,,1k
English,coldly,cold,,1k
English,coldness,cold,,1k
English,colds,cold,,1k
English,collect,,,1k
English,collectable,collect,,1k
English,collectables,collect,,1k
English,collected,collect,,1k
English,collecting,collect,,1k
English,collection,collect,,1k
English,collections,collect,,1k
English,collective,collect,,1k
English,collectively,collect,,1k
English,collectives,collect,,1k
English,collectivism,collect,,1k
English,collectivist,collect,,1k
English,collectivists,collect,,1k
English,collectivities,collect,,1k
English,collectivity,collect,,1k
English,collectivization,collect,,1k
English,collector,collect,,1k
English,collectors,collect,,1k
English,collects,collect,,1k
English,uncollected,collect,,1k
English,college,,,1k
English,colleges,college,,1k
English,collegian,college,,1k
English,collegians,college,,1k
English,colour,,,1k
English,color,colour,,1k
English,coloration,colour,,1k
English,colorations,colour,,1k
English,colored,colour,,1k
English,coloreds,colour,,1k
English,colorful,colour,,1k
English,colorfully,colour,,1k
English,coloring,colour,,1k
English,colorings,colour,,1k
English,colorless,colour,,1k
English,colors,colour,,1k
English,colouration,colour,,1k
English,colourations,colour,,1k
English,coloured,colour,,1k
English,coloureds,colour,,1k
English,colourful,colour,,1k
English,colourfully,colour,,1k
English,colouring,colour,,1k
English,colourings,colour,,1k
English,colourist,colour,,1k
English,colourists,colour,,1k
English,colourless,colour,,1k
English,colours,colour,,1k
English,come,,,1k
English,came,come,,1k
English,comer,come,,1k
English,comers,come,,1k
English,comes,come,,1k
English,cometh,come,,1k
English,comin,come,,1k
English,coming,come,,1k
English,comings,come,,1k
English,comfort,,,1k
English,comfortable,comfort,,1k
English,comfortably,comfort,,1k
English,comforted,comfort,,1k
English,comforting,comfort,,1k
English,comfortingly,comfort,,1k
English,comforts,comfort,,1k
English,uncomfortable,comfort,,1k
English,uncomfortably,comfort,,1k
English,uncomforted,comfort,,1k
English,company,,,1k
English,co,company,,1k
English,companies,company,,1k
English,complete,,,1k
English,completed,complete,,1k
English,completely,complete,,1k
English,completeness,complete,,1k
English,completes,complete,,1k
English,completing,complete,,1k
English,completion,complete,,1k
English,completions,complete,,1k
English,incomplete,complete,,1k
English,incompletely,complete,,1k
English,incompleteness,complete,,1k
English,uncompleted,complete,,1k
English,computer,,,1k
English,computable,computer,,1k
English,computation,computer,,1k
English,computational,computer,,1k
English,computationally,computer,,1k
English,computations,computer,,1k
English,compute,computer,,1k
English,computed,computer,,1k
English,computerisation,computer,,1k
English,computerise,computer,,1k
English,computerised,computer,,1k
English,computerises,computer,,1k
English,computerising,computer,,1k
English,computerization,computer,,1k
English,computerize,computer,,1k
English,computerized,computer,,1k
English,computerizes,computer,,1k
English,computerizing,computer,,1k
English,computers,computer,,1k
English,computes,computer,,1k
English,computing,computer,,1k
English,concern,,,1k
English,concerned,concern,,1k
English,concerning,concern,,1k
English,concerns,concern,,1k
English,unconcern,concern,,1k
English,unconcerned,concern,,1k
English,unconcernedly,concern,,1k
English,consider,,,1k
English,consideration,consider,,1k
English,considerations,consider,,1k
English,considered,consider,,1k
English,considering,consider,,1k
English,consideringly,consider,,1k
English,considers,consider,,1k
English,reconsider,consider,,1k
English,reconsideration,consider,,1k
English,reconsiderations,consider,,1k
English,reconsidered,consider,,1k
English,reconsidering,consider,,1k
English,reconsiders,consider,,1k
English,unconsidered,consider,,1k
English,continue,,,1k
English,continual,continue,,1k
English,continually,continue,,1k
English,continuance,continue,,1k
English,continuation,continue,,1k
English,continuations,continue,,1k
English,continued,continue,,1k
English,continues,continue,,1k
English,continuing,continue,,1k
English,continuities,continue,,1k
English,continuity,continue,,1k
English,continuous,continue,,1k
English,continuously,continue,,1k
English,control,,,1k
English,controllable,control,,1k
English,controlled,control,,1k
English,controller,control,,1k
English,controllers,control,,1k
English,controlling,control,,1k
English,controls,control,,1k
English,uncontrollable,control,,1k
English,uncontrollably,control,,1k
English,uncontrolled,control,,1k
English,conversation,,,1k
English,conversant,conversation,,1k
English,conversational,conversation,,1k
English,conversationalist,conversation,,1k
English,conversationalists,conversation,,1k
English,conversationally,conversation,,1k
English,conversations,conversation,,1k
English,converse,conversation,,1k
English,conversed,conversation,,1k
English,converses,conversation,,1k
English,conversing,conversation,,1k
English,cook,,,1k
English,cooked,cook,,1k
